Performance	Hours	Educ	Rating	Entry	Extra	Stress
72.59814	9.3386	14	4.82	50.1122223	NA	72.60740663
51.22383	10.7868	13	5.63	49.8821709	5.9	68.81685107
51.76161	11.1086	13	6.68	49.7176834	NA	68.30617843
65.95679	11.2581	14	7.56	50.2816303	NA	66.74273358
50.30831	11.2003	13	4.57	50.2356679	NA	71.15587013
37.04463	9.2514	13	5.68	50.4123473	NA	74.53996799
51.36085	10.9085	14	6.66	50.8733553	5.7	70.28130973
46.41857	11.188	13	6.36	50.0916808	NA	69.32119537
55.51875	10.0775	13	5.77	49.3794723	NA	77.64705634
55.54293	10.232	13	6.41	50.2847106	5.8	69.55876158
76.52326	8.91	14	6.33	50.8973001	NA	69.67128446
48.16096	11.5976	13	6.12	49.6950009	NA	68.27835109
70.14159	9.6738	13	4.91	50.7109699	NA	71.04010751
70.81645	9.8683	13	7.57	49.5195106	NA	70.42107438
69.974	9.5287	13	4.74	49.5250222	NA	78.77529848
52.5561	9.2653	13	5.03	49.3404122	NA	67.50374011
68.53708	11.1935	13	4.8	49.2882065	4.6	66.03828869
68.16831	8.7606	13	5.85	51.0106973	NA	77.43814952
51.81016	12.0966	13	5.49	49.1262262	NA	63.67364062
43.48667	10.9012	13	5.79	50.5982653	NA	60.71110994
50.41973	10.5249	12	5.15	50.3357448	6	59.59873039
71.30833	8.108	13	6.89	50.6996783	NA	76.86569826
56.87136	9.3395	13	6.46	51.2443332	NA	71.27922457
59.37015	9.5554	13	5.22	50.4675702	NA	70.58888496
52.59207	11.6414	13	7.25	49.1335463	4.5	64.76258863
55.74089	9.3425	13	6.05	49.9372369	NA	77.35760773
69.67845	10.9434	13	6.05	50.0231087	NA	68.87442914
58.83224	10.4914	12	4.75	49.5203143	NA	66.01072472
83.86619	10.2728	13	6.54	50.691343	NA	72.18611716
56.2652	9.3831	13	5.95	50.5118366	NA	75.76895624
63.14198	9.2764	13	6.51	49.6882064	NA	70.59917553
56.63996	11.6372	13	6.4	49.9330316	5.2	63.44672169
50.05757	8.6772	14	5.99	49.7278536	NA	72.580168
66.87903	7.7268	14	5.37	50.2382488	NA	75.30476074
58.2741	9.4113	12	6.67	50.0900778	NA	74.1206075
75.09396	10.9083	12	6.59	49.8510598	NA	74.96266514
57.7759	11.2376	13	5.18	49.7160503	5.7	66.87207239
61.13545	9.5411	13	4.39	50.457725	5.3	61.44935102
75.26541	8.2887	13	7.15	49.5144348	NA	63.99500911
85.35408	9.2851	13	5.5	50.2039654	NA	69.75906197
58.49632	9.1136	14	5.09	50.7031745	NA	71.99495202
67.77993	8.4183	13	6.58	50.4446437	NA	71.14141092
65.12072	10.7414	13	5.46	50.2184112	NA	75.93522874
45.61714	10.0684	13	6	49.8337373	6	74.14271444
67.29515	9.8491	13	5.96	48.6456206	NA	73.01853917
68.37636	8.3661	14	7.61	51.0042564	NA	75.50196745
47.90166	9.0598	13	5.88	49.9167806	5.7	68.95916441
63.71395	9.1914	13	6.79	49.6615305	NA	72.00580579
63.08646	9.1536	13	5.41	50.4040332	NA	77.99556127
53.88052	9.6649	12	7.14	50.1486271	NA	73.41479711
70.57374	10.0051	13	7.39	51.0555906	NA	69.79492698
41.60529	12.3168	13	5.03	49.997679	5.4	56.84428599
59.98854	9.7541	14	5.62	49.7761117	NA	65.26749126
66.99051	10.4142	13	6.09	50.4693299	5.8	59.78798934
65.47858	9.8387	13	5.45	50.3081721	NA	66.83858541
43.65724	11.0235	13	5.11	50.5787373	NA	64.35744259
57.19386	10.8792	13	5.28	49.983059	NA	57.90547977
40.95518	12.1053	13	5.91	50.0227217	5.9	66.43167591
32.10698	8.7902	13	5.79	50.1777984	NA	76.061085
43.79909	11.0753	14	6.35	50.4668434	NA	63.49746522
53.98531	11.1067	13	5.84	50.4078696	5	61.3450878
68.98083	10.484	13	5.45	49.999671	NA	66.20716514
58.57892	11.0523	13	6.75	49.6280911	NA	65.48475316
39.86084	11.2507	13	3.36	49.3368863	NA	66.9509329
57.15691	10.4883	13	5.42	49.223327	5.9	71.45148335
57.31364	10.6285	13	6.87	50.3315657	NA	77.49984172
58.32947	11.1037	13	4.61	50.2602211	NA	63.82240675
72.83059	9.5919	13	5.33	49.5028883	NA	74.06471701
68.50744	8.2063	13	6.31	50.6487178	NA	75.89304702
45.91304	11.9648	12	5.05	49.8975875	NA	61.3382469
67.64633	8.4786	13	5.03	49.5621169	NA	61.54429607
65.07163	9.1927	14	8.75	49.3787448	NA	67.09941357
66.90195	9.4163	13	7.39	49.1815492	NA	65.64935357
68.56177	10.1519	13	6.58	49.9084833	NA	64.40855793
49.80363	9.8438	13	5.9	49.7916751	NA	79.08242743
61.36346	9.04	13	6.91	50.2325967	NA	83.17874619
67.4476	9.6296	13	4.41	49.5777924	NA	70.91949379
71.00992	7.7373	14	4.69	50.0042053	NA	72.02010663
58.85693	7.7087	14	7.68	51.0343296	NA	68.53221653
53.33177	9.4469	12	7.11	49.1575072	NA	75.83687697
60.0954	10.1637	13	5.86	48.6096037	NA	69.14946284
60.337	9.7153	13	8.33	50.3127263	NA	71.51045771
61.29045	8.2248	13	5.72	50.0417776	NA	75.83348113
64.75851	10.2042	13	7.36	49.5527242	NA	70.71403069
45.72996	11.9982	13	6.01	49.9964654	5.7	60.60862598
81.15291	8.1267	12	6.6	50.1222945	NA	73.65215339
60.37583	10.2071	13	6.57	49.9384716	NA	69.48091929
56.66194	10.2756	13	4.78	50.486085	NA	74.88609532
75.95411	10.3986	13	6.76	50.7196859	NA	79.15197368
66.95393	11.1391	14	5.27	49.1574822	NA	71.52106729
58.3095	8.6949	13	5.9	50.4963984	NA	79.28570726
53.67918	10.7216	13	5.7	49.4744433	NA	73.32552882
62.41323	10.894	13	5.87	49.930396	5	60.53343553
47.33163	10.1429	14	6.1	49.9240779	NA	65.42031827
65.65402	10.0572	14	5.61	50.4908762	5.8	66.28245157
48.30391	8.9761	13	5.25	51.0910959	NA	75.90366385
72.60001	10.7057	14	7	49.027618	NA	68.80959244
78.09191	10.0215	13	6.22	50.3087313	NA	74.02545557
49.51347	10.8449	13	5.55	50.5214863	NA	72.08560728
61.01868	11.5542	12	5.23	50.1778266	NA	63.29514729
66.94558	10.6353	12	7.34	49.5394229	NA	68.69412717
55.10893	10.4644	13	5.4	49.0402481	NA	71.80512236
83.75291	9.9342	13	5.27	49.5347078	NA	70.95299413
53.54104	8.6574	13	5.5	50.3815705	NA	68.82561935
41.17574	11.7276	13	3.74	50.0035043	NA	73.08679555
75.05269	10.2482	13	7.77	48.741737	5.8	70.52196113
66.9747	9.5546	13	6.11	49.2650575	NA	70.96677225
50.54919	9.7325	13	7.43	49.6219448	5.4	62.69064534
68.2927	10.8798	13	4.57	50.5521911	NA	74.2768172
77.90351	9.8162	14	7.67	49.7506175	5.5	72.31120245
52.6685	10.4335	13	5.48	50.3807151	NA	60.79354109
62.97555	8.5538	13	5.62	49.9565581	NA	75.12273531
47.94946	9.8505	13	4.8	49.7665554	NA	62.49981254
53.17692	10.0191	13	6.95	50.8463999	NA	65.60573444
63.94199	10.6824	13	5.69	50.8872923	NA	73.87162358
66.56294	8.6132	12	7.13	49.4642699	NA	74.93572971
56.91734	10.5363	14	7.37	50.0660374	NA	70.90270596
58.01527	10.9389	13	4.83	50.7778224	NA	71.20968063
49.72876	12.0159	13	7.17	49.6654181	NA	62.3603955
62.69665	9.3335	12	6.15	50.7767529	NA	64.81113046
41.73245	11.166	13	6.84	50.8554424	NA	60.47682928
79.77426	8.3732	13	7.62	49.5236102	NA	75.95344578
60.95436	10.7065	12	5.27	49.7597384	5	68.14532012
76.07876	8.31	14	8.79	50.1617269	NA	71.48057715
65.9135	10.4019	13	7.47	49.7286362	NA	77.72746248
55.65466	10.757	13	5.96	50.37217	NA	64.07778426
57.08224	11.5073	13	4.47	50.1887964	5.4	64.46811164
63.64286	9.6061	12	5.89	49.8581749	NA	62.76208447
64.93714	9.3235	13	4.78	50.0711912	NA	73.76865714
78.47241	10.2519	14	6.3	49.9796837	5.8	75.2264415
48.11931	10.531	13	5.15	49.5067095	5.9	64.88797571
58.46442	9.0583	13	6.32	50.472533	NA	66.41375786
59.942	9.7807	13	5.3	50.3604319	NA	69.09819704
40.65235	10.8127	14	6.19	50.0659	5.8	65.68907875
42.45223	8.7419	13	6.41	49.907348	NA	72.03141826
47.22901	11.9484	13	5.27	48.831857	NA	73.64325184
78.83395	8.0555	14	7.23	49.8935612	NA	67.51709419
51.01144	8.7065	14	6.46	50.0387711	NA	73.27579516
62.51412	11.4882	12	4.99	50.3664901	NA	58.74782592
57.61876	8.2283	13	5.44	49.2484393	NA	70.35899743
65.59133	10.8758	13	6.09	50.0923824	5.2	66.97524181
52.96575	8.6736	14	6.07	49.7476401	NA	61.12203026
67.83246	10.7329	12	5.24	50.2513564	NA	70.51685253
46.26581	10.0592	14	5.14	48.9756872	NA	68.87717672
