"ID","SUKUP","KATISYYS","ITSEHILLINTA","PALKKIOHERKKYYS","PSYKOPATIA","AUTISMI","AHDISTUNEISUUS","MASENNUS","STRESSI","SEKSUAALIVIETTI","EMPATIA","SAATELY_KOGN","SAATELY_PEIT","AGGRESSIIVISUUS","NEUROTISISMI","ULOSPAINSUUNT","AVOIMUUS","SOVINNOLLISUUS","TUNNOLLISUUS","YKSINAISYYS"
"25","Mies","Oikea",17,7.2,24,19.3,42,2.15,1.88,16.1,40,26,23.4,62,25,36,44,47,45,72
"26","Mies","Oikea",13.9,11.5,26,13.1,53,7.81,6.34,16,36,25,14.7,58,44,39,38,47,38,30
"27","Mies","Oikea",22.4,11.9,31,15.6,40,4.25,1.76,13.1,32,33,10.8,59,28,38,37,34,46,53
"28","Mies","Oikea",18,9.1,19,11.5,39,1.45,3.06,9.1,52,26,7.7,62,28,45,48,48,33,45
"29","Mies","Oikea",20.1,16.3,24,16,42,3.7,0.73,4.1,38,14,7.1,50,29,31,25,46,41,33
"30","Nainen","Oikea",15.4,3.5,21,7.2,38,2.11,4.75,14.1,48,32,15,46,30,49,45,47,55,28
"31","Mies","Oikea",8.2,9.2,19,16.7,56,18.67,9.39,11.3,36,31,19.3,54,42,35,45,41,38,43
"32","Nainen","Oikea",11,15.1,28,14.7,43,4.95,8.33,5.6,51,27,12.7,65,45,43,41,46,29,32
"33","Nainen","Oikea",12.2,13.6,22,8,41,5.61,3.73,6.1,49,21,16.3,42,34,38,45,47,39,30
"34","Mies","Oikea",16,8.8,20,17.4,38,0.58,1.18,8.2,45,30,10.1,38,28,43,48,51,50,29
"35","Mies","Oikea",15.3,12.6,23,20.2,34,7.56,-0.16,19.5,40,31,15.4,37,28,39,30,53,36,26
"36","Nainen","Oikea",12,15.1,23,18.1,50,8.46,10.59,13,50,35,6.9,65,41,45,48,52,46,39
"37","Mies","Oikea",16.3,10.7,24,12.5,45,6.99,3.95,15.2,40,30,10,74,41,44,40,46,39,41
"38","Nainen","Oikea",13.6,8.1,23,13.4,50,19.65,5.87,14.8,42,27,12.2,43,37,39,45,48,40,33
"39","Nainen","Oikea",10.9,9.3,32,20.6,55,5.22,8.88,4.1,38,23,18.9,80,44,38,40,39,43,45
"40","Mies","Oikea",20.7,5.2,27,13.9,40,16.32,6.25,21.8,33,30,22.2,62,29,39,56,42,40,52
"41","Nainen","Oikea",10.3,9.7,26,7.9,52,10.12,6.95,14.8,55,36,13,52,34,45,37,50,31,35
"42","Nainen","Oikea",19.8,7.9,18,12.5,33,0.72,2.97,5.9,51,36,6.7,47,28,51,48,58,31,23
"43","Nainen","Oikea",11.8,11.1,29,17.8,36,1.2,6.33,18.4,57,33,17.9,39,41,45,40,37,48,25
"44","Nainen","Oikea",13.6,9.9,23,25.9,43,2.8,3.86,7,49,14,12.7,40,26,23,46,54,40,28
"45","Nainen","Oikea",21.3,7.1,20,12.4,27,1.14,0.82,7.1,58,30,14.1,38,25,39,34,54,50,32
"46","Nainen","Oikea",7.8,15.7,21,31.5,65,16.41,17.78,7.8,35,26,22.1,60,42,25,40,47,39,73
"47","Nainen","Oikea",20.1,10.2,16,20.6,50,18.26,8.95,6.9,55,29,18.8,52,31,30,45,56,29,41
"48","Mies","Oikea",15.4,10.9,24,13.3,44,12.48,10.44,23.4,40,30,19.5,49,29,47,48,52,41,22
"49","Mies","Oikea",8.3,12.9,23,18.1,56,18.04,11.25,17.4,55,30,12.1,70,45,40,44,43,47,37
"50","Nainen","Oikea",19.2,9.7,22,11.5,29,1.56,3.13,17.7,48,28,10.6,57,23,53,56,48,38,31
"51","Nainen","Oikea",21,9,24,9.9,34,10.27,5.73,27,38,28,14.2,50,26,46,48,48,39,25
"52","Mies","Oikea",15,10,27,12.3,47,4.93,2.12,15.4,49,33,5.9,43,31,48,33,52,51,22
"53","Nainen","Oikea",13.2,8.2,27,17.9,30,3.89,6.01,12.1,56,43,15.4,47,30,45,41,42,50,31
"54","Nainen","Oikea",12.4,8,18,12,34,9.07,6.23,13.9,57,42,11.3,48,29,46,53,43,42,29
"55","Nainen","Oikea",12.8,11.5,20,11,44,5.62,9.14,13.2,56,31,13.8,42,30,42,47,47,40,38
"56","Nainen","Oikea",15.8,7.5,23,12.1,48,1.43,5.14,18.1,61,25,12.3,45,33,41,45,53,37,27
"57","Mies","Oikea",16.6,15,22,18,40,13.99,6.18,5.8,38,26,9.3,40,37,34,40,47,44,27
"58","Mies","Oikea",25.1,9.9,21,13.5,34,2.15,3.08,11.4,42,32,13.1,43,27,43,53,54,48,36
"59","Nainen","Oikea",18.1,15.6,24,23.9,40,0.31,1.7,3.2,35,31,21.2,41,28,37,29,50,45,27
"60","Nainen","Oikea",10,14.9,18,26.4,58,17.24,8.35,6.2,33,20,14.1,50,44,28,36,55,34,51
"61","Mies","Oikea",18.1,10.2,23,16.6,30,0.51,0.64,3.2,21,26,19.9,55,26,33,27,41,44,34
"62","Mies","Oikea",18.2,15.2,24,18.3,35,2.16,1.9,18.9,36,28,22.1,56,28,46,28,43,31,31
"63","Nainen","Oikea",12.3,5.2,24,11.1,43,6.65,10.53,15.4,45,26,15.3,60,41,34,53,42,36,40
"64","Nainen","Oikea",15.9,7.1,25,13.4,37,0.18,2.77,19.6,50,35,11,53,27,51,53,53,40,29
"65","Mies","Oikea",16.1,11.2,27,24.2,40,4.94,4.75,25.4,45,25,22,46,28,27,45,47,45,41
"66","Mies","Oikea",19,11.5,30,10,27,7.96,1.79,21.1,35,33,18,46,28,42,38,39,47,35
"67","Mies","Oikea",7.8,10.1,19,32.3,62,8.53,7.14,6.3,30,26,18.2,51,45,29,45,44,40,37
"68","Mies","Oikea",10.2,11,24,24.6,38,2.13,2.7,16,36,28,10.7,54,25,34,30,50,45,25
"69","Nainen","Oikea",14.7,15.6,21,22.9,61,15.96,9.37,13.2,31,26,11.1,50,42,40,45,47,33,43
"70","Mies","Oikea",12,15.6,30,26.4,48,8.48,4.26,16.6,36,27,14.9,54,28,39,29,45,39,39
"71","Mies","Oikea",19.9,13,29,19.5,27,5.61,3.67,11.1,32,29,19.8,68,35,41,30,43,42,33
"72","Mies","Oikea",14.8,7.2,16,20.8,40,4.84,1.19,7,37,27,21.8,50,30,39,51,58,31,35
"73","Mies","Oikea",8.4,7.9,24,19.3,57,26.94,13.09,18,30,30,11,74,43,37,50,28,44,61
"74","Nainen","Oikea",15,15,21,22.9,35,3.99,2.22,14,32,28,19.3,40,28,41,39,52,44,41
"75","Mies","Oikea",6.2,7.2,20,20.1,49,6.74,8.42,18.1,36,14,15.1,50,45,40,35,44,41,27
"76","Mies","Oikea",14.3,15,26,15.7,36,4.63,4.07,15.4,31,24,13.1,57,32,37,44,43,30,33
"77","Nainen","Oikea",17,7.3,18,8.4,45,5.15,3.22,6.1,62,30,4,47,26,44,42,47,39,36
"78","Mies","Oikea",18,9.7,29,11.5,39,9.95,5.13,19.5,42,32,8.9,69,33,48,31,42,45,36
"79","Mies","Oikea",15.3,15.2,19,20,28,5.6,4.24,5.1,44,28,11.9,41,22,44,40,50,44,24
"80","Nainen","Oikea",22.1,6.4,30,16,29,-0.92,0.7,27.3,44,31,14.7,46,24,44,44,41,45,24
