subid;sex;age;country;person;bond;valence;face;hand;leg
27211;male;59;japan;F_Cousin;6;9;0.017153;0.8679;0.00048525
27211;male;59;japan;M_Cousin;5;5;0.0018544;0.75462;0.00067935
27211;male;59;japan;F_Friend;NA;NA;NA;NA;NA
27211;male;59;japan;M_Friend;4;5;0.0018544;0.99893;9.71E-05
27211;male;59;japan;F_Acq;NA;NA;NA;NA;NA
27211;male;59;japan;M_Acq;NA;NA;NA;NA;NA
27211;male;59;japan;F_Stranger;1;1;0.00092721;0.66193;0
27211;male;59;japan;M_Stranger;1;1;0.00092721;0.41406;0.0049495
30485;male;39;japan;Partner;10;10;1;1;1
30485;male;39;japan;Mother;6;4;0.011127;0;0
30485;male;39;japan;Father;NA;NA;NA;NA;NA
30485;male;39;japan;Sister;6;4;0;0;0
30485;male;39;japan;Brother;6;4;0;0;0
30485;male;39;japan;Aunt;7;6;0.0064905;0;0
30485;male;39;japan;Uncle;7;6;0.020399;0;0
30485;male;39;japan;F_Cousin;6;6;0.038016;0.93324;0.14237
30485;male;39;japan;M_Cousin;7;7;0.0050997;0;0
30485;male;39;japan;F_Friend;NA;NA;NA;NA;NA
30485;male;39;japan;M_Friend;NA;NA;NA;NA;NA
30485;male;39;japan;F_Acq;1;2;1;0.97195;0.062403
30485;male;39;japan;M_Acq;1;2;0.02828;0;0
30485;male;39;japan;F_Stranger;1;1;0.0018544;0.97798;0.11568
30485;male;39;japan;M_Stranger;1;1;0.044043;0;0
34069;male;22;japan;Partner;10;10;0.0018544;0.84304;0.87519
34069;male;22;japan;Mother;NA;NA;NA;NA;NA
34069;male;22;japan;Father;NA;NA;NA;NA;NA
34069;male;22;japan;Sister;7;5;0;0;0
34069;male;22;japan;Brother;NA;NA;NA;NA;NA
34069;male;22;japan;Aunt;NA;NA;NA;NA;NA
34069;male;22;japan;Uncle;NA;NA;NA;NA;NA
34069;male;22;japan;F_Cousin;NA;NA;NA;NA;NA
34069;male;22;japan;M_Cousin;NA;NA;NA;NA;NA
34069;male;22;japan;F_Friend;9;9;0.002318;0.80824;0.74563
34069;male;22;japan;M_Friend;8;2;0;0;0
34069;male;22;japan;F_Acq;6;9;0.0018544;0.77024;0.72836
34069;male;22;japan;M_Acq;6;2;0;0;0
34069;male;22;japan;F_Stranger;1;1;0;0;0
34069;male;22;japan;M_Stranger;1;1;0;0;0
34503;male;27;japan;Partner;10;6;0;0.15483;0.10394
34503;male;27;japan;Mother;10;6;0.44228;0.49822;0.0005823
34503;male;27;japan;Father;10;6;0;0;0.61093
34503;male;27;japan;Sister;10;6;0;0;0
34503;male;27;japan;Brother;NA;NA;NA;NA;NA
34503;male;27;japan;Aunt;5;5;0.00046361;0.15447;0
34503;male;27;japan;Uncle;5;5;0.00092721;0.22337;9.71E-05
34503;male;27;japan;F_Cousin;7;5;0;0;0
34503;male;27;japan;M_Cousin;6;5;0.49374;0;0
34503;male;27;japan;F_Friend;9;5;0.048679;0;9.71E-05
34503;male;27;japan;M_Friend;9;5;0.20677;0;0
34503;male;27;japan;F_Acq;5;5;0;0;0
34503;male;27;japan;M_Acq;5;5;0;0;0
34503;male;27;japan;F_Stranger;1;5;0;0;0
34503;male;27;japan;M_Stranger;1;5;0;0;0
34889;male;30;japan;Partner;9;8;0.66064;0.066406;0.78018
34889;male;30;japan;Mother;8;7;0.0013908;0.37855;0.85083
34889;male;30;japan;Father;8;8;0.0013908;0.33097;0.76116
34889;male;30;japan;Sister;NA;NA;NA;NA;NA
34889;male;30;japan;Brother;NA;NA;NA;NA;NA
34889;male;30;japan;Aunt;7;5;0;0;0
34889;male;30;japan;Uncle;7;5;0;0;0
34889;male;30;japan;F_Cousin;8;8;0;0;0
34889;male;30;japan;M_Cousin;8;8;0;0;0
34889;male;30;japan;F_Friend;8;5;0;0;0
34889;male;30;japan;M_Friend;8;5;0;0;0
34889;male;30;japan;F_Acq;9;6;0;0;0
34889;male;30;japan;M_Acq;9;6;0.0013908;0.43359;0.0005823
34889;male;30;japan;F_Stranger;4;3;0;0;0
34889;male;30;japan;M_Stranger;4;3;0;0;0
35827;male;30;japan;Partner;NA;NA;NA;NA;NA
35827;male;30;japan;Mother;4;3;0.0013908;0.79794;0.51359
35827;male;30;japan;Father;1;2;0;0;0.00029115
35827;male;30;japan;Sister;4;3;0.002318;0.89631;0.44177
35827;male;30;japan;Brother;3;3;0.00046361;0.027699;0.47127
35827;male;30;japan;Aunt;1;2;0;0;0.0003882
35827;male;30;japan;Uncle;1;2;0;0;0.0003882
35827;male;30;japan;F_Cousin;1;2;0;0;0.00029115
35827;male;30;japan;M_Cousin;1;2;0;0;0.00048525
35827;male;30;japan;F_Friend;NA;NA;NA;NA;NA
35827;male;30;japan;M_Friend;NA;NA;NA;NA;NA
35827;male;30;japan;F_Acq;NA;NA;NA;NA;NA
35827;male;30;japan;M_Acq;NA;NA;NA;NA;NA
35827;male;30;japan;F_Stranger;1;2;0.00046361;0.0060369;0.36141
35827;male;30;japan;M_Stranger;1;2;0;0;0.00048525
36831;male;45;japan;Partner;10;9;0;0;0.11957
36831;male;45;japan;Mother;10;9;0;0;0.0001941
36831;male;45;japan;Father;NA;NA;NA;NA;NA
36831;male;45;japan;Sister;5;6;0;0;0.0001941
36831;male;45;japan;Brother;NA;NA;NA;NA;NA
36831;male;45;japan;Aunt;4;5;0;0;0
36831;male;45;japan;Uncle;NA;NA;NA;NA;NA
36831;male;45;japan;F_Cousin;NA;NA;NA;NA;NA
36831;male;45;japan;M_Cousin;4;5;0;0;0
36831;male;45;japan;F_Friend;6;7;0.0018544;0.913;0.55687
36831;male;45;japan;M_Friend;6;7;0;0;0
36831;male;45;japan;F_Acq;6;7;0.0018544;0.84624;0.00048525
36831;male;45;japan;M_Acq;6;7;0;0;0
36831;male;45;japan;F_Stranger;2;5;0.00046361;0;0.00048525
36831;male;45;japan;M_Stranger;2;5;0;0;0
37839;male;37;japan;Partner;10;8;0.082986;0.41406;0.00048525
37839;male;37;japan;Mother;6;1;0;0;0
37839;male;37;japan;Father;6;1;0;0;0
37839;male;37;japan;Sister;NA;NA;NA;NA;NA
37839;male;37;japan;Brother;6;1;0;0;0
37839;male;37;japan;Aunt;1;1;0;0;0
37839;male;37;japan;Uncle;1;1;0;0;0
37839;male;37;japan;F_Cousin;1;1;0;0;0
37839;male;37;japan;M_Cousin;1;1;0;0;0
37839;male;37;japan;F_Friend;NA;NA;NA;NA;NA
37839;male;37;japan;M_Friend;NA;NA;NA;NA;NA
37839;male;37;japan;F_Acq;3;3;0.0018544;0.26172;0.0027174
37839;male;37;japan;M_Acq;3;1;0;0;0
37839;male;37;japan;F_Stranger;2;3;0.0018544;0.37642;0.00029115
37839;male;37;japan;M_Stranger;2;1;0;0;0
41831;male;37;japan;Partner;NA;NA;NA;NA;NA
41831;male;37;japan;Mother;9;6;0;0;0.0012616
41831;male;37;japan;Father;8;6;0.033843;0;0.0003882
41831;male;37;japan;Sister;5;4;0;0;0
41831;male;37;japan;Brother;NA;NA;NA;NA;NA
41831;male;37;japan;Aunt;3;4;0;0;0
41831;male;37;japan;Uncle;3;4;0;0;0
41831;male;37;japan;F_Cousin;4;4;0;0;0
41831;male;37;japan;M_Cousin;4;4;0;0;0
41831;male;37;japan;F_Friend;NA;NA;NA;NA;NA
41831;male;37;japan;M_Friend;7;4;0;0;0
41831;male;37;japan;F_Acq;6;6;0.015299;0.99503;0.0009705
41831;male;37;japan;M_Acq;7;5;0;0;0
41831;male;37;japan;F_Stranger;2;6;0;0;0
41831;male;37;japan;M_Stranger;2;2;0;0;0
46292;male;47;japan;Partner;4;5;0;0;0
46292;male;47;japan;Mother;5;5;0;0;0
46292;male;47;japan;Father;6;4;0;0;0
46292;male;47;japan;Sister;NA;NA;NA;NA;NA
46292;male;47;japan;Brother;NA;NA;NA;NA;NA
46292;male;47;japan;Aunt;NA;NA;NA;NA;NA
46292;male;47;japan;Uncle;NA;NA;NA;NA;NA
46292;male;47;japan;F_Cousin;NA;NA;NA;NA;NA
46292;male;47;japan;M_Cousin;NA;NA;NA;NA;NA
46292;male;47;japan;F_Friend;6;4;0.2522;0;0.0007764
46292;male;47;japan;M_Friend;5;4;0;0;0
46292;male;47;japan;F_Acq;4;6;0;0;0
46292;male;47;japan;M_Acq;4;4;0.0060269;0.017045;0
46292;male;47;japan;F_Stranger;5;4;0;0.25;0
46292;male;47;japan;M_Stranger;6;5;0.00092721;0.29226;0
46575;male;45;japan;Partner;NA;NA;NA;NA;NA
46575;male;45;japan;Mother;NA;NA;NA;NA;NA
46575;male;45;japan;Father;NA;NA;NA;NA;NA
46575;male;45;japan;Sister;NA;NA;NA;NA;NA
46575;male;45;japan;Brother;NA;NA;NA;NA;NA
46575;male;45;japan;Aunt;NA;NA;NA;NA;NA
46575;male;45;japan;Uncle;NA;NA;NA;NA;NA
46575;male;45;japan;F_Cousin;NA;NA;NA;NA;NA
46575;male;45;japan;M_Cousin;NA;NA;NA;NA;NA
46575;male;45;japan;F_Friend;NA;NA;NA;NA;NA
46575;male;45;japan;M_Friend;NA;NA;NA;NA;NA
46575;male;45;japan;F_Acq;5;5;0.00046361;0.37322;0
46575;male;45;japan;M_Acq;5;5;0.0013908;0.38352;0
46575;male;45;japan;F_Stranger;5;5;0;0;0
46575;male;45;japan;M_Stranger;5;5;0;0;0
53406;male;18;japan;Partner;NA;NA;NA;NA;NA
53406;male;18;japan;Mother;10;8;0.42791;0.8402;0.31066
53406;male;18;japan;Father;10;8;0.085767;0.69744;0.29163
53406;male;18;japan;Sister;8;8;0.12656;0.91726;0.39344
53406;male;18;japan;Brother;NA;NA;NA;NA;NA
53406;male;18;japan;Aunt;8;7;0.21048;0.94709;0.30328
53406;male;18;japan;Uncle;7;7;0.14928;0.88175;0.3257
53406;male;18;japan;F_Cousin;NA;NA;NA;NA;NA
53406;male;18;japan;M_Cousin;7;6;0.010663;0.89524;0.32424
53406;male;18;japan;F_Friend;5;6;0.92397;0.95348;0.55173
53406;male;18;japan;M_Friend;6;6;0.23319;0.85902;0.51922
53406;male;18;japan;F_Acq;4;6;0.79972;0.81783;0.36753
53406;male;18;japan;M_Acq;4;6;0.063978;0.90945;0.39509
53406;male;18;japan;F_Stranger;3;6;0.096894;0.85085;0.00048525
53406;male;18;japan;M_Stranger;3;6;0.035698;0.36825;0.0005823
54051;male;36;japan;Partner;2;10;1;0.96413;0.97651
54051;male;36;japan;Mother;NA;NA;NA;NA;NA
54051;male;36;japan;Father;2;2;1;0.99929;0.9901
54051;male;36;japan;Sister;NA;NA;NA;NA;NA
54051;male;36;japan;Brother;NA;NA;NA;NA;NA
54051;male;36;japan;Aunt;NA;NA;NA;NA;NA
54051;male;36;japan;Uncle;NA;NA;NA;NA;NA
54051;male;36;japan;F_Cousin;NA;NA;NA;NA;NA
54051;male;36;japan;M_Cousin;NA;NA;NA;NA;NA
54051;male;36;japan;F_Friend;2;5;0.99954;0.99716;0.99864
54051;male;36;japan;M_Friend;2;1;0;0;0
54051;male;36;japan;F_Acq;2;5;1;0.98899;0.99845
54051;male;36;japan;M_Acq;2;1;0;0;0
54051;male;36;japan;F_Stranger;1;5;0;0;0
54051;male;36;japan;M_Stranger;1;1;0;0;0
55575;male;54;japan;Partner;10;10;0.62772;0.62322;0.74796
55575;male;54;japan;Mother;10;10;0.76449;0.71413;0.00087345
55575;male;54;japan;Father;NA;NA;NA;NA;NA
55575;male;54;japan;Sister;NA;NA;NA;NA;NA
55575;male;54;japan;Brother;NA;NA;NA;NA;NA
55575;male;54;japan;Aunt;5;5;0.0018544;0.88388;9.71E-05
55575;male;54;japan;Uncle;5;5;0.0018544;0.92685;0.0003882
55575;male;54;japan;F_Cousin;5;5;0.0018544;0.95881;9.71E-05
55575;male;54;japan;M_Cousin;5;5;0.0018544;0.95206;9.71E-05
55575;male;54;japan;F_Friend;NA;NA;NA;NA;NA
55575;male;54;japan;M_Friend;5;5;0.0018544;0.95526;0.0001941
55575;male;54;japan;F_Acq;NA;NA;NA;NA;NA
55575;male;54;japan;M_Acq;5;5;0.0018544;0.93501;0.0031056
55575;male;54;japan;F_Stranger;3;3;0.0018544;0.91832;0
55575;male;54;japan;M_Stranger;3;3;0;0;0
59425;male;59;japan;Partner;9;9;0.99954;0.58345;0.32977
59425;male;59;japan;Mother;7;5;0.61474;0.49964;0.0003882
59425;male;59;japan;Father;7;5;0.0018544;0.49858;9.71E-05
59425;male;59;japan;Sister;6;5;0.0018544;0.48509;0.0010675
59425;male;59;japan;Brother;6;5;0.0018544;0.49112;0.0001941
59425;male;59;japan;Aunt;5;4;0.0018544;0.49964;0.00048525
59425;male;59;japan;Uncle;5;4;0.0018544;0.49964;0.0001941
59425;male;59;japan;F_Cousin;5;4;0.0018544;0.49858;0.00029115
59425;male;59;japan;M_Cousin;5;4;0.0018544;0.49964;9.71E-05
59425;male;59;japan;F_Friend;7;7;0.0018544;0.49467;9.71E-05
59425;male;59;japan;M_Friend;7;7;0.0018544;0.49254;9.71E-05
59425;male;59;japan;F_Acq;3;5;0.0018544;0.4929;0.0001941
59425;male;59;japan;M_Acq;3;5;0.0018544;0.46697;0.00048525
59425;male;59;japan;F_Stranger;2;3;0;0;0
59425;male;59;japan;M_Stranger;2;3;0;0;0
67706;male;36;japan;Partner;8;9;0;0;0.80716
67706;male;36;japan;Mother;7;3;0.0013908;0.49006;9.71E-05
67706;male;36;japan;Father;NA;NA;NA;NA;NA
67706;male;36;japan;Sister;6;3;0.0018544;0.4897;9.71E-05
67706;male;36;japan;Brother;NA;NA;NA;NA;NA
67706;male;36;japan;Aunt;4;3;0;0;0
67706;male;36;japan;Uncle;4;2;0;0;0
67706;male;36;japan;F_Cousin;4;3;0.0013908;0.43501;0
67706;male;36;japan;M_Cousin;4;2;0;0;0
67706;male;36;japan;F_Friend;4;4;0.0013908;0.3576;0
67706;male;36;japan;M_Friend;4;2;0;0;0
67706;male;36;japan;F_Acq;4;4;0.00092721;0.36257;9.71E-05
67706;male;36;japan;M_Acq;4;2;0;0;0
67706;male;36;japan;F_Stranger;3;4;0.0018544;0.50994;0.00087345
67706;male;36;japan;M_Stranger;3;2;0;0;0
68637;male;37;japan;Partner;NA;NA;NA;NA;NA
68637;male;37;japan;Mother;9;5;0.049142;0.99751;0.0001941
68637;male;37;japan;Father;9;5;0.0018544;0.98153;0.0001941
68637;male;37;japan;Sister;NA;NA;NA;NA;NA
68637;male;37;japan;Brother;10;5;0.99815;0.96058;0.00048525
68637;male;37;japan;Aunt;7;3;0.0018544;0.96236;0
68637;male;37;japan;Uncle;3;3;0.0018544;0.95241;0.00048525
68637;male;37;japan;F_Cousin;3;5;0.027353;0.89702;0
68637;male;37;japan;M_Cousin;5;5;0.17663;0.96946;0.00048525
68637;male;37;japan;F_Friend;9;7;0.047752;0.88494;0
68637;male;37;japan;M_Friend;10;9;0.97589;0.93466;0.0005823
68637;male;37;japan;F_Acq;5;5;0.0018544;0.98366;0
68637;male;37;japan;M_Acq;5;5;0.0018544;0.95987;9.71E-05
68637;male;37;japan;F_Stranger;2;1;0.0018544;0.94851;9.71E-05
68637;male;37;japan;M_Stranger;2;1;0.0018544;0.94425;0.00029115
69581;male;21;japan;Partner;NA;NA;NA;NA;NA
69581;male;21;japan;Mother;5;6;1;1;1
69581;male;21;japan;Father;5;6;0;0;0
69581;male;21;japan;Sister;5;6;1;0.97053;1
69581;male;21;japan;Brother;NA;NA;NA;NA;NA
69581;male;21;japan;Aunt;5;6;0.99861;0.9794;1
69581;male;21;japan;Uncle;5;6;0.98609;0.94851;0.99951
69581;male;21;japan;F_Cousin;NA;NA;NA;NA;NA
69581;male;21;japan;M_Cousin;5;6;0.99212;0.9897;0.99864
69581;male;21;japan;F_Friend;5;6;1;0.9723;0.9966
69581;male;21;japan;M_Friend;5;6;0.95178;0.88352;0.99622
69581;male;21;japan;F_Acq;5;6;0.93834;0.96591;0.99049
69581;male;21;japan;M_Acq;5;6;0.99907;0.90838;0.98651
69581;male;21;japan;F_Stranger;5;6;0;0;0
69581;male;21;japan;M_Stranger;5;6;0;0;0
71838;male;25;japan;Partner;NA;NA;NA;NA;NA
71838;male;25;japan;Mother;10;4;0.019471;0;0
71838;male;25;japan;Father;2;3;0.024108;0;0
71838;male;25;japan;Sister;NA;NA;NA;NA;NA
71838;male;25;japan;Brother;NA;NA;NA;NA;NA
71838;male;25;japan;Aunt;3;3;0;0;0
71838;male;25;japan;Uncle;3;3;0;0;0
71838;male;25;japan;F_Cousin;3;3;0;0;0
71838;male;25;japan;M_Cousin;3;3;0;0;0
71838;male;25;japan;F_Friend;NA;NA;NA;NA;NA
71838;male;25;japan;M_Friend;5;3;0;0;0
71838;male;25;japan;F_Acq;4;3;0;0;0
71838;male;25;japan;M_Acq;4;3;0;0;0
71838;male;25;japan;F_Stranger;1;1;0;0;0
71838;male;25;japan;M_Stranger;1;1;0;0;0
72421;male;43;japan;Partner;10;10;0.99722;0.85795;0.0016498
72421;male;43;japan;Mother;NA;NA;NA;NA;NA
72421;male;43;japan;Father;7;7;0;0;9.71E-05
72421;male;43;japan;Sister;NA;NA;NA;NA;NA
72421;male;43;japan;Brother;7;7;0;0;9.71E-05
72421;male;43;japan;Aunt;NA;NA;NA;NA;NA
72421;male;43;japan;Uncle;NA;NA;NA;NA;NA
72421;male;43;japan;F_Cousin;5;6;0.0013908;0.95206;0.00048525
72421;male;43;japan;M_Cousin;5;6;0.0013908;0.89134;0.0001941
72421;male;43;japan;F_Friend;NA;NA;NA;NA;NA
72421;male;43;japan;M_Friend;10;10;0;0;9.71E-05
72421;male;43;japan;F_Acq;5;6;0.0013908;0.78977;0.0005823
72421;male;43;japan;M_Acq;5;6;0;0;9.71E-05
72421;male;43;japan;F_Stranger;5;5;0;0;9.71E-05
72421;male;43;japan;M_Stranger;5;5;0;0;9.71E-05
73696;male;39;japan;Partner;NA;NA;NA;NA;NA
73696;male;39;japan;Mother;10;7;0.0013908;0.84517;0.021254
73696;male;39;japan;Father;10;7;0.00046361;0.663;0.00048525
73696;male;39;japan;Sister;NA;NA;NA;NA;NA
73696;male;39;japan;Brother;NA;NA;NA;NA;NA
73696;male;39;japan;Aunt;8;6;0.0018544;0.78089;0.00029115
73696;male;39;japan;Uncle;8;6;0.0018544;0.88743;0.0017469
73696;male;39;japan;F_Cousin;5;6;0.0018544;0.9407;0.0026203
73696;male;39;japan;M_Cousin;6;6;0.0018544;0.88246;0.00029115
73696;male;39;japan;F_Friend;6;6;0.0018544;0.89453;0.0036879
73696;male;39;japan;M_Friend;6;5;0.0018544;0.86186;0.0043672
73696;male;39;japan;F_Acq;6;5;0.0013908;0.84553;9.71E-05
73696;male;39;japan;M_Acq;5;5;0.0018544;0.90483;9.71E-05
73696;male;39;japan;F_Stranger;5;5;0.0018544;0.88707;0.0027174
73696;male;39;japan;M_Stranger;5;3;0.0018544;0.92614;0.0036879
77635;male;45;japan;Partner;NA;NA;NA;NA;NA
77635;male;45;japan;Mother;7;7;0.91794;0.53622;0.63762
77635;male;45;japan;Father;7;7;0.71766;0.62962;0.52892
77635;male;45;japan;Sister;7;7;0.075104;0.46342;0.40877
77635;male;45;japan;Brother;NA;NA;NA;NA;NA
77635;male;45;japan;Aunt;4;7;0.0018544;0.89027;0.00029115
77635;male;45;japan;Uncle;4;7;0.0013908;0.87997;9.71E-05
77635;male;45;japan;F_Cousin;3;6;0.0018544;0.89489;0
77635;male;45;japan;M_Cousin;3;6;0.0018544;0.95632;0.00029115
77635;male;45;japan;F_Friend;NA;NA;NA;NA;NA
77635;male;45;japan;M_Friend;3;4;0.0018544;0.84624;0.00029115
77635;male;45;japan;F_Acq;3;4;0.0013908;0.79545;0.0001941
77635;male;45;japan;M_Acq;2;4;0.0013908;0.89205;9.71E-05
77635;male;45;japan;F_Stranger;2;3;0.0018544;0.83771;9.71E-05
77635;male;45;japan;M_Stranger;2;3;0.0013908;0.71058;0
80156;male;34;japan;Partner;NA;NA;NA;NA;NA
80156;male;34;japan;Mother;5;2;0.050997;0.99574;0.010384
